50.0000000000	50.0000000000	3.0000000000	
50.0000000000	50.0000000000	103.0000000000	
90.0000000000	50.0000000000	103.0000000000	
78.2842712475	78.2842712475	103.0000000000	
50.0000000000	90.0000000000	103.0000000000	
21.7157287525	78.2842712475	103.0000000000	
10.0000000000	50.0000000000	103.0000000000	
21.7157287525	21.7157287525	103.0000000000	
50.0000000000	10.0000000000	103.0000000000	
78.2842712475	21.7157287525	103.0000000000	
90.0000000000	50.0000000000	103.0000000000	
50.0000000000	50.0000000000	103.0000000000	
50.0000000000	50.0000000000	3.0000000000	
