19.5679970157	26.9008118400	103.0000000000	
23.2635151457	28.4315455695	106.0000000000	
27.0903494694	19.1927502444	106.0000000000	
23.3948313393	17.6620165149	103.0000000000	
#

19.5679970157	26.9008118400	103.0000000000	
15.8724788856	25.3700781106	106.0000000000	
19.6993132093	16.1312827855	106.0000000000	
23.3948313393	17.6620165149	103.0000000000	
#

19.5679970157	26.9008118400	103.0000000000	
15.8724788856	25.3700781106	100.0000000000	
19.6993132093	16.1312827855	100.0000000000	
23.3948313393	17.6620165149	103.0000000000	
#

19.5679970157	26.9008118400	103.0000000000	
23.2635151457	28.4315455695	100.0000000000	
27.0903494694	19.1927502444	100.0000000000	
23.3948313393	17.6620165149	103.0000000000	
#

19.5679970157	26.9008118400	103.0000000000	
23.2635151457	28.4315455695	106.0000000000	
27.0903494694	19.1927502444	106.0000000000	
23.3948313393	17.6620165149	103.0000000000	
#

